"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"1","TOTAL",8380,13356,51555,2683192,105385,2861868,"2010"
"2","110001 ALTA FLORESTA D'OESTE",1,2,9,438,2,452,"2010"
"3","110002 ARIQUEMES",2,5,17,1608,1,1633,"2010"
"4","110003 CABIXI",0,0,2,94,0,96,"2010"
"5","110004 CACOAL",3,3,16,1150,6,1178,"2010"
"6","110005 CEREJEIRAS",1,3,5,212,19,240,"2010"
"7","110006 COLORADO DO OESTE",0,2,4,239,17,262,"2010"
"8","110007 CORUMBIARA",1,1,1,111,17,131,"2010"
"9","110008 COSTA MARQUES",0,2,8,252,1,263,"2010"
"10","110009 ESPIGAO D'OESTE",3,2,9,478,3,495,"2010"
"11","110010 GUAJARA-MIRIM",6,3,14,857,2,882,"2010"
"12","110011 JARU",3,3,11,801,1,819,"2010"
"13","110012 JI-PARANA",3,4,25,1498,5,1535,"2010"
"14","110013 MACHADINHO D'OESTE",1,1,4,495,0,501,"2010"
"15","110014 NOVA BRASILANDIA D'OESTE",1,1,13,310,0,325,"2010"
"16","110015 OURO PRETO DO OESTE",1,2,9,643,0,655,"2010"
"17","110018 PIMENTA BUENO",2,7,23,571,1,604,"2010"
"18","110020 PORTO VELHO",11,16,134,7844,84,8089,"2010"
"19","110025 PRESIDENTE MEDICI",0,1,9,172,1,183,"2010"
"20","110026 RIO CRESPO",0,0,1,38,0,39,"2010"
"21","110028 ROLIM DE MOURA",1,1,8,780,3,793,"2010"
"22","110029 SANTA LUZIA D'OESTE",0,0,2,125,0,127,"2010"
"23","110030 VILHENA",5,2,14,1142,141,1304,"2010"
"24","110032 SAO MIGUEL DO GUAPORE",3,0,18,166,65,252,"2010"
"25","110033 NOVA MAMORE",1,5,17,392,2,417,"2010"
"26","110034 ALVORADA D'OESTE",1,3,5,178,3,190,"2010"
"27","110037 ALTO ALEGRE DOS PARECIS",1,4,5,194,0,204,"2010"
"28","110040 ALTO PARAISO",1,1,7,272,1,282,"2010"
"29","110045 BURITIS",1,3,4,647,1,656,"2010"
"30","110050 NOVO HORIZONTE DO OESTE",0,0,0,149,0,149,"2010"
"31","110060 CACAULANDIA",0,0,0,70,0,70,"2010"
"32","110070 CAMPO NOVO DE RONDONIA",2,0,3,178,0,183,"2010"
"33","110080 CANDEIAS DO JAMARI",0,1,6,349,9,365,"2010"
"34","110090 CASTANHEIRAS",0,1,2,50,0,53,"2010"
"35","110092 CHUPINGUAIA",1,0,1,108,13,123,"2010"
"36","110094 CUJUBIM",1,0,1,210,3,215,"2010"
"37","110100 GOVERNADOR JORGE TEIXEIRA",0,0,0,165,0,165,"2010"
"38","110110 ITAPUA DO OESTE",0,1,1,111,1,114,"2010"
"39","110120 MINISTRO ANDREAZZA",1,1,1,109,0,112,"2010"
"40","110130 MIRANTE DA SERRA",1,0,8,182,0,191,"2010"
"41","110140 MONTE NEGRO",1,0,8,213,0,222,"2010"
"42","110143 NOVA UNIAO",0,0,3,101,0,104,"2010"
"43","110145 PARECIS",0,0,2,69,0,71,"2010"
"44","110146 PIMENTEIRAS DO OESTE",0,0,0,41,4,45,"2010"
"45","110147 PRIMAVERA DE RONDONIA",0,0,1,47,0,48,"2010"
"46","110148 SAO FELIPE D'OESTE",0,0,0,75,0,75,"2010"
"47","110149 SAO FRANCISCO DO GUAPORE",1,3,6,245,0,255,"2010"
"48","110150 SERINGUEIRAS",0,1,3,189,1,194,"2010"
"49","110155 TEIXEIROPOLIS",1,0,0,50,0,51,"2010"
"50","110160 THEOBROMA",0,0,1,133,1,135,"2010"
"51","110170 URUPA",0,1,2,108,0,111,"2010"
"52","110175 VALE DO ANARI",0,0,3,77,0,80,"2010"
"53","110180 VALE DO PARAISO",0,0,2,94,1,97,"2010"
"54","120001 ACRELANDIA",0,1,5,212,16,234,"2010"
"55","120005 ASSIS BRASIL",1,3,6,160,82,252,"2010"
"56","120010 BRASILEIA",0,1,10,442,22,475,"2010"
"57","120013 BUJARI",0,0,3,168,14,185,"2010"
"58","120017 CAPIXABA",0,3,3,168,17,191,"2010"
"59","120020 CRUZEIRO DO SUL",1,7,20,1335,361,1724,"2010"
"60","120025 EPITACIOLANDIA",2,2,4,231,14,253,"2010"
"61","120030 FEIJO",1,1,2,751,172,927,"2010"
"62","120032 JORDAO",0,1,0,73,185,259,"2010"
"63","120033 MANCIO LIMA",0,1,4,343,61,409,"2010"
"64","120034 MANOEL URBANO",0,0,4,155,53,212,"2010"
"65","120035 MARECHAL THAUMATURGO",0,1,1,137,280,419,"2010"
"66","120038 PLACIDO DE CASTRO",0,1,4,306,25,336,"2010"
"67","120039 PORTO WALTER",1,1,7,213,129,351,"2010"
"68","120040 RIO BRANCO",5,14,50,5932,436,6437,"2010"
"69","120042 RODRIGUES ALVES",1,2,7,330,116,456,"2010"
"70","120043 SANTA ROSA DO PURUS",0,0,3,45,157,205,"2010"
"71","120045 SENADOR GUIOMARD",0,0,5,328,31,364,"2010"
"72","120050 SENA MADUREIRA",1,6,7,848,99,961,"2010"
"73","120060 TARAUACA",2,3,15,982,212,1214,"2010"
"74","120070 XAPURI",0,3,17,248,30,298,"2010"
"75","120080 PORTO ACRE",0,2,6,293,32,333,"2010"
"76","MUNICIPIO IGNORADO - AM",0,0,0,2,0,2,"2010"
"77","130002 ALVARAES",5,1,4,270,1,281,"2010"
"78","130006 AMATURA",0,1,2,117,110,230,"2010"
"79","130008 ANAMA",0,0,0,169,13,182,"2010"
"80","130010 ANORI",0,1,2,10,231,244,"2010"
"81","130014 APUI",2,2,5,223,3,235,"2010"
"82","130020 ATALAIA DO NORTE",0,1,6,251,2,260,"2010"
"83","130030 AUTAZES",2,4,18,643,132,799,"2010"
"84","130040 BARCELOS",0,0,7,230,25,262,"2010"
"85","130050 BARREIRINHA",1,0,2,649,35,687,"2010"
"86","130060 BENJAMIN CONSTANT",4,2,5,926,3,940,"2010"
"87","130063 BERURI",0,0,11,387,10,408,"2010"
